"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"D:\FAV\ing\1\2\VSS\kiv_vss_semwork\examples\virus1.nlogox"
"baseline_auto"
"04/13/2026 13:15:02:549 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-32","32","-32","32"
"[run number]","num-people","standard-speed","incubation-days","init-infected","transmission-prob","mean-illness-duration","[step]","m_final_susceptible","m_final_exposed","m_final_infected","m_final_recovered","m_ever_infected","m_ticks","m_deaths","m_final_resources"
"8","500","2","5","1","60","14","1264","0","0","0","500","500","1264","0","-1"
"3","500","2","5","1","60","14","1282","0","0","0","500","500","1282","0","-1"
"5","500","2","5","1","60","14","1269","0","0","0","500","500","1269","0","-1"
"9","500","2","5","1","60","14","1309","0","0","0","500","500","1309","0","-1"
"2","500","2","5","1","60","14","1280","0","0","0","500","500","1280","0","-1"
"4","500","2","5","1","60","14","1314","0","0","0","500","500","1314","0","-1"
"10","500","2","5","1","60","14","1310","0","0","0","500","500","1310","0","-1"
"7","500","2","5","1","60","14","1369","0","0","0","500","500","1369","0","-1"
"6","500","2","5","1","60","14","1319","0","0","0","500","500","1319","0","-1"
"1","500","2","5","1","60","14","1558","0","0","0","500","500","1558","0","-1"
