"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"D:\FAV\ing\1\2\VSS\kiv_vss_semwork\examples\virus1.nlogox"
"ofat_transmission_auto"
"04/13/2026 13:22:19:262 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-32","32","-32","32"
"[run number]","num-people","standard-speed","incubation-days","init-infected","transmission-prob","mean-illness-duration","[step]","m_final_susceptible","m_final_exposed","m_final_infected","m_final_recovered","m_ever_infected","m_ticks","m_deaths","m_final_resources"
"11","500","2","5","1","60","14","1298","0","0","0","500","500","1298","0","-1"
"14","500","2","5","1","60","14","1296","0","0","0","500","500","1296","0","-1"
"12","500","2","5","1","60","14","1392","0","0","0","500","500","1392","0","-1"
"8","500","2","5","1","30","14","1504","0","0","0","500","500","1504","0","-1"
"13","500","2","5","1","60","14","1401","0","0","0","500","500","1401","0","-1"
"16","500","2","5","1","60","14","1421","0","0","0","500","500","1421","0","-1"
"15","500","2","5","1","60","14","1419","0","0","0","500","500","1419","0","-1"
"9","500","2","5","1","30","14","1537","0","0","0","500","500","1537","0","-1"
"1","500","2","5","1","30","14","1622","0","0","0","500","500","1622","0","-1"
"3","500","2","5","1","30","14","1588","0","0","0","500","500","1588","0","-1"
"7","500","2","5","1","30","14","1591","0","0","0","500","500","1591","0","-1"
"2","500","2","5","1","30","14","1530","0","0","0","500","500","1530","0","-1"
"4","500","2","5","1","30","14","1607","0","0","0","500","500","1607","0","-1"
"5","500","2","5","1","30","14","1667","0","0","0","500","500","1667","0","-1"
"6","500","2","5","1","30","14","1608","0","0","0","500","500","1608","0","-1"
"10","500","2","5","1","30","14","1714","0","0","0","500","500","1714","0","-1"
"17","500","2","5","1","60","14","1386","0","0","0","500","500","1386","0","-1"
"23","500","2","5","1","85","14","1214","0","0","0","500","500","1214","0","-1"
"18","500","2","5","1","60","14","1346","0","0","0","500","500","1346","0","-1"
"21","500","2","5","1","85","14","1268","0","0","0","500","500","1268","0","-1"
"24","500","2","5","1","85","14","1243","0","0","0","500","500","1243","0","-1"
"20","500","2","5","1","60","14","1386","0","0","0","500","500","1386","0","-1"
"19","500","2","5","1","60","14","1350","0","0","0","500","500","1350","0","-1"
"22","500","2","5","1","85","14","1321","0","0","0","500","500","1321","0","-1"
"28","500","2","5","1","85","14","1223","0","0","0","500","500","1223","0","-1"
"27","500","2","5","1","85","14","1316","0","0","0","500","500","1316","0","-1"
"25","500","2","5","1","85","14","1313","0","0","0","500","500","1313","0","-1"
"30","500","2","5","1","85","14","1277","0","0","0","500","500","1277","0","-1"
"29","500","2","5","1","85","14","1356","0","0","0","500","500","1356","0","-1"
"26","500","2","5","1","85","14","1326","0","0","0","500","500","1326","0","-1"
