"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"D:\FAV\ing\1\2\VSS\kiv_vss_semwork\examples\virus2.nlogox"
"baseline_auto"
"04/13/2026 13:15:09:443 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-32","32","-32","32"
"[run number]","num-people","standard-speed","incubation-days","init-infected","transmission-prob","fatality-rate","mean-illness-duration","healthcare-capacity","overload-multiplier","[step]","m_final_susceptible","m_final_exposed","m_final_infected","m_final_recovered","m_ever_infected","m_ticks","m_deaths","m_final_resources"
"5","500","2","5","1","60","1.8","14","140","2","1311","0","0","0","482","500","1311","18","-1"
"3","500","2","5","1","60","1.8","14","140","2","1323","0","0","0","480","500","1323","20","-1"
"10","500","2","5","1","60","1.8","14","140","2","1342","0","0","0","489","500","1342","11","-1"
"7","500","2","5","1","60","1.8","14","140","2","1284","0","0","0","479","500","1284","21","-1"
"8","500","2","5","1","60","1.8","14","140","2","1410","0","0","0","484","500","1410","16","-1"
"6","500","2","5","1","60","1.8","14","140","2","1373","0","0","0","488","500","1373","12","-1"
"4","500","2","5","1","60","1.8","14","140","2","1325","0","0","0","477","500","1325","23","-1"
"9","500","2","5","1","60","1.8","14","140","2","1330","0","0","0","485","500","1330","15","-1"
"2","500","2","5","1","60","1.8","14","140","2","1327","0","0","0","489","500","1327","11","-1"
"1","500","2","5","1","60","1.8","14","140","2","1297","0","0","0","488","500","1297","12","-1"
