"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"D:\FAV\ing\1\2\VSS\kiv_vss_semwork\examples\virus2.nlogox"
"capacity_overload_grid_auto"
"04/13/2026 13:22:28:048 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-32","32","-32","32"
"[run number]","num-people","standard-speed","incubation-days","init-infected","transmission-prob","fatality-rate","mean-illness-duration","healthcare-capacity","overload-multiplier","[step]","m_final_susceptible","m_final_exposed","m_final_infected","m_final_recovered","m_ever_infected","m_ticks","m_deaths","m_final_resources"
"10","500","2","5","1","60","1.8","14","80","1.2","1358","0","0","0","486","500","1358","14","-1"
"9","500","2","5","1","60","1.8","14","80","1.2","1341","0","0","0","493","500","1341","7","-1"
"6","500","2","5","1","60","1.8","14","80","1.2","1248","0","0","0","493","500","1248","7","-1"
"5","500","2","5","1","60","1.8","14","80","1.2","1325","0","0","0","492","500","1325","8","-1"
"11","500","2","5","1","60","1.8","14","80","3","1276","0","0","0","474","500","1276","26","-1"
"8","500","2","5","1","60","1.8","14","80","1.2","1396","0","0","0","487","500","1396","13","-1"
"7","500","2","5","1","60","1.8","14","80","1.2","1382","0","0","0","487","500","1382","13","-1"
"2","500","2","5","1","60","1.8","14","80","1.2","1369","0","0","0","483","500","1369","17","-1"
"3","500","2","5","1","60","1.8","14","80","1.2","1347","0","0","0","486","500","1347","14","-1"
"4","500","2","5","1","60","1.8","14","80","1.2","1301","0","0","0","486","500","1301","14","-1"
"14","500","2","5","1","60","1.8","14","80","3","1371","0","0","0","468","500","1371","32","-1"
"16","500","2","5","1","60","1.8","14","80","3","1403","0","0","0","469","500","1403","31","-1"
"13","500","2","5","1","60","1.8","14","80","3","1391","0","0","0","463","500","1391","37","-1"
"1","500","2","5","1","60","1.8","14","80","1.2","1426","0","0","0","489","500","1426","11","-1"
"15","500","2","5","1","60","1.8","14","80","3","1393","0","0","0","478","500","1393","22","-1"
"12","500","2","5","1","60","1.8","14","80","3","1455","0","0","0","475","500","1455","25","-1"
"17","500","2","5","1","60","1.8","14","80","3","1368","0","0","0","475","500","1368","25","-1"
"18","500","2","5","1","60","1.8","14","80","3","1275","0","0","0","473","500","1275","27","-1"
"20","500","2","5","1","60","1.8","14","80","3","1323","0","0","0","475","500","1323","25","-1"
"24","500","2","5","1","60","1.8","14","240","1.2","1365","0","0","0","493","500","1365","7","-1"
"19","500","2","5","1","60","1.8","14","80","3","1347","0","0","0","484","500","1347","16","-1"
"22","500","2","5","1","60","1.8","14","240","1.2","1291","0","0","0","491","500","1291","9","-1"
"23","500","2","5","1","60","1.8","14","240","1.2","1344","0","0","0","486","500","1344","14","-1"
"21","500","2","5","1","60","1.8","14","240","1.2","1402","0","0","0","485","500","1402","15","-1"
"26","500","2","5","1","60","1.8","14","240","1.2","1303","0","0","0","488","500","1303","12","-1"
"29","500","2","5","1","60","1.8","14","240","1.2","1267","0","0","0","491","500","1267","9","-1"
"25","500","2","5","1","60","1.8","14","240","1.2","1355","0","0","0","491","500","1355","9","-1"
"28","500","2","5","1","60","1.8","14","240","1.2","1321","0","0","0","490","500","1321","10","-1"
"32","500","2","5","1","60","1.8","14","240","3","1307","0","0","0","490","500","1307","10","-1"
"31","500","2","5","1","60","1.8","14","240","3","1344","0","0","0","484","500","1344","16","-1"
"27","500","2","5","1","60","1.8","14","240","1.2","1307","0","0","0","492","500","1307","8","-1"
"30","500","2","5","1","60","1.8","14","240","1.2","1391","0","0","0","486","500","1391","14","-1"
"33","500","2","5","1","60","1.8","14","240","3","1322","0","0","0","481","500","1322","19","-1"
"34","500","2","5","1","60","1.8","14","240","3","1364","0","0","0","478","500","1364","22","-1"
"38","500","2","5","1","60","1.8","14","240","3","1250","0","0","0","484","500","1250","16","-1"
"40","500","2","5","1","60","1.8","14","240","3","1259","0","0","0","483","500","1259","17","-1"
"36","500","2","5","1","60","1.8","14","240","3","1341","0","0","0","486","500","1341","14","-1"
"37","500","2","5","1","60","1.8","14","240","3","1366","0","0","0","480","500","1366","20","-1"
"35","500","2","5","1","60","1.8","14","240","3","1370","0","0","0","480","500","1370","20","-1"
"39","500","2","5","1","60","1.8","14","240","3","1360","0","0","0","485","500","1360","15","-1"
