"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"D:\FAV\ing\1\2\VSS\kiv_vss_semwork\examples\virus3.nlogox"
"baseline_auto"
"04/13/2026 13:15:16:326 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-32","32","-32","32"
"[run number]","num-people","standard-speed","incubation-days","init-infected","transmission-prob","fatality-rate","mean-illness-duration","healthcare-capacity","overload-multiplier","resource-stock","resource-regeneration","treatment-cost","resource-penalty","[step]","m_final_susceptible","m_final_exposed","m_final_infected","m_final_recovered","m_ever_infected","m_ticks","m_deaths","m_final_resources"
"1","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.8","8760","0","51","125","212","500","8760","112","1392"
"7","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.8","8760","0","44","129","216","500","8760","111","1400"
"10","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.8","8760","0","39","127","229","500","8760","105","1400"
"4","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.8","8760","0","41","115","225","500","8760","119","1400"
"5","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.8","8760","0","61","128","195","500","8760","116","1388"
"9","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.8","8760","0","31","115","229","500","8760","125","1400"
"8","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.8","8760","0","39","113","237","500","8760","111","1388"
"6","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.8","8760","0","48","124","220","500","8760","108","1400"
"2","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.8","8760","0","42","142","201","500","8760","115","1400"
"3","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.8","8760","0","32","128","222","500","8760","118","1400"
