"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"D:\FAV\ing\1\2\VSS\kiv_vss_semwork\examples\virus3.nlogox"
"resources_grid_auto"
"04/13/2026 13:22:38:390 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-32","32","-32","32"
"[run number]","num-people","standard-speed","incubation-days","init-infected","transmission-prob","fatality-rate","mean-illness-duration","healthcare-capacity","overload-multiplier","resource-stock","resource-regeneration","treatment-cost","resource-penalty","[step]","m_final_susceptible","m_final_exposed","m_final_infected","m_final_recovered","m_ever_infected","m_ticks","m_deaths","m_final_resources"
"10","500","2","5","1","60","1.8","14","140","2","600","2","6","1.8","8760","0","40","135","204","500","8760","121","20"
"6","500","2","5","1","60","1.8","14","140","2","600","2","6","1.8","8760","0","44","103","220","500","8760","133","10"
"4","500","2","5","1","60","1.8","14","140","2","600","2","6","1.8","8760","0","42","111","223","500","8760","124","54"
"16","500","2","5","1","60","1.8","14","140","2","600","2","24","1.8","8760","0","37","107","217","500","8760","139","18"
"5","500","2","5","1","60","1.8","14","140","2","600","2","6","1.8","8760","0","34","126","223","500","8760","117","8"
"7","500","2","5","1","60","1.8","14","140","2","600","2","6","1.8","8760","0","42","126","229","500","8760","103","14"
"3","500","2","5","1","60","1.8","14","140","2","600","2","6","1.8","8760","0","48","122","209","500","8760","121","112"
"9","500","2","5","1","60","1.8","14","140","2","600","2","6","1.8","8760","0","37","118","225","500","8760","120","10"
"14","500","2","5","1","60","1.8","14","140","2","600","2","24","1.8","8760","0","32","118","209","500","8760","141","12"
"1","500","2","5","1","60","1.8","14","140","2","600","2","6","1.8","8760","0","41","116","235","500","8760","108","4"
"15","500","2","5","1","60","1.8","14","140","2","600","2","24","1.8","8760","0","38","121","186","500","8760","155","28"
"12","500","2","5","1","60","1.8","14","140","2","600","2","24","1.8","8760","0","43","107","208","500","8760","142","10"
"11","500","2","5","1","60","1.8","14","140","2","600","2","24","1.8","8760","0","28","109","226","500","8760","137","2"
"2","500","2","5","1","60","1.8","14","140","2","600","2","6","1.8","8760","0","44","113","215","500","8760","128","38"
"8","500","2","5","1","60","1.8","14","140","2","600","2","6","1.8","8760","0","51","119","221","500","8760","109","4"
"13","500","2","5","1","60","1.8","14","140","2","600","2","24","1.8","8760","0","37","93","218","500","8760","152","20"
"17","500","2","5","1","60","1.8","14","140","2","600","2","24","1.8","8760","0","39","116","201","500","8760","144","10"
