"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"D:\FAV\ing\1\2\VSS\kiv_vss_semwork\examples\virus4.nlogox"
"strategy_grid_auto"
"04/13/2026 13:23:11:545 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-32","32","-32","32"
"[run number]","num-people","standard-speed","incubation-days","init-infected","transmission-prob","fatality-rate","mean-illness-duration","healthcare-capacity","overload-multiplier","resource-stock","resource-regeneration","treatment-cost","resource-penalty","strategy-mode","high-risk-share","vaccination-rate","[step]","m_final_susceptible","m_final_exposed","m_final_infected","m_final_recovered","m_ever_infected","m_ticks","m_deaths","m_final_resources"
"10","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","0","10","20","8760","0","35","138","252","500","8760","75","1392"
"6","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","0","10","20","8760","0","46","127","255","500","8760","72","1388"
"3","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","0","10","20","8760","0","40","107","264","500","8760","89","1388"
"5","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","0","10","20","8760","0","41","133","249","500","8760","77","1400"
"4","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","0","10","20","8760","0","46","121","262","500","8760","71","1400"
"8","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","0","10","20","8760","0","50","141","234","500","8760","75","1400"
"2","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","0","10","20","8760","0","38","107","279","500","8760","76","1396"
"7","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","0","10","20","8760","0","53","104","272","500","8760","71","1376"
"11","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","0","10","80","8760","0","28","90","369","500","8760","13","1400"
"15","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","0","10","80","8760","0","24","76","382","500","8760","18","1400"
"1","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","0","10","20","8760","0","46","133","252","500","8760","69","1400"
"12","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","0","10","80","8760","0","22","71","390","500","8760","17","1400"
"9","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","0","10","20","8760","0","37","130","261","500","8760","72","1400"
"14","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","0","10","80","8760","0","24","73","386","500","8760","17","1392"
"13","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","0","10","80","8760","0","35","99","356","500","8760","10","1400"
"16","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","0","10","80","8760","0","24","82","378","500","8760","16","1388"
"18","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","0","10","80","8760","0","32","68","382","500","8760","18","1384"
"17","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","0","10","80","8760","0","34","89","367","500","8760","10","1400"
"20","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","0","10","80","8760","0","24","69","391","500","8760","16","1400"
"19","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","0","10","80","8760","0","34","72","382","500","8760","12","1396"
"22","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","0","35","20","8760","0","44","118","271","500","8760","67","1376"
"23","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","0","35","20","8760","0","39","116","256","500","8760","89","1400"
