strategy-mode,high-risk-share,vaccination-rate,m_deaths_n,m_deaths_mean,m_deaths_std,m_deaths_p25,m_deaths_p50,m_deaths_p75,m_final_infected_n,m_final_infected_mean,m_final_infected_std,m_final_infected_p25,m_final_infected_p50,m_final_infected_p75
0,10,20,10,74.700000,5.638164,71.250000,73.500000,75.750000,10,124.100000,13.658127,110.500000,128.500000,133.000000
0,10,80,10,14.700000,3.164034,12.250000,16.000000,17.000000,10,78.900000,10.587729,71.250000,74.500000,87.250000
0,35,20,10,74.400000,7.560129,70.000000,72.000000,78.750000,10,118.700000,8.446564,115.250000,117.000000,121.000000
0,35,80,10,14.500000,4.453463,11.250000,14.000000,16.750000,10,80.100000,9.048634,72.500000,78.500000,86.500000
1,10,20,10,103.600000,9.203864,96.000000,102.500000,111.000000,10,100.500000,6.996031,97.000000,99.500000,105.750000
1,10,80,10,20.600000,3.627059,19.000000,20.500000,21.750000,10,86.100000,8.332667,80.500000,83.500000,91.000000
1,35,20,10,93.600000,3.949684,90.250000,94.500000,96.500000,10,114.800000,16.074825,101.500000,112.500000,119.000000
1,35,80,10,21.400000,5.581716,17.000000,22.500000,25.750000,10,78.600000,10.254538,76.000000,78.000000,85.000000
2,10,20,10,76.400000,7.560129,70.250000,76.000000,81.500000,10,119.000000,9.556847,112.750000,117.500000,119.750000
2,10,80,10,17.200000,4.962078,14.000000,16.000000,18.750000,10,79.000000,8.286535,74.500000,77.000000,79.750000
2,35,20,10,78.200000,5.266245,74.250000,76.500000,80.750000,10,120.100000,11.589746,111.750000,120.500000,128.750000
2,35,80,10,14.300000,2.213594,13.000000,14.000000,15.750000,10,78.600000,11.577756,75.500000,80.000000,86.750000
